4.99987;-8;11;-14;17.9999;-1;3.99998;-8.00008;11;-14;17;-1.00001;3.99999;
4.99974;-8;11;-14;17.9998;-1;3.99996;-8.00016;11;-14;17;-1.00002;3.99998;
4.99961;-8;11;-14;17.9997;-1;3.99994;-8.00024;11;-14;17;-1.00003;3.99997;
4.99948;-8;11;-14;17.9996;-1;3.99992;-8.00032;11;-14;17;-1.00004;3.99996;
4.99935;-8;11;-14;17.9995;-1;3.9999;-8.0004;11;-14;17;-1.00005;3.99995;
4.99922;-8;11;-14;17.9994;-1;3.99988;-8.00048;11;-14;17;-1.00006;3.99994;
4.99909;-8;11;-14;17.9993;-1;3.99986;-8.00056;11;-14;17;-1.00007;3.99993;
4.99896;-8;11;-14;17.9992;-1;3.99984;-8.00064;11;-14;17;-1.00008;3.99992;
4.99883;-8;11;-14;17.9991;-1;3.99982;-8.00072;11;-14;17;-1.00009;3.99991;
4.9987;-8;11;-14;17.999;-1;3.9998;-8.0008;11;-14;17;-1.0001;3.9999;
4.99857;-8;11;-14;17.9989;-1;3.99978;-8.00088;11;-14;17;-1.00011;3.99989;
4.99844;-8;11;-14;17.9988;-1;3.99976;-8.00096;11;-14;17;-1.00012;3.99988;
4.99831;-8;11;-14;17.9987;-1;3.99974;-8.00104;11;-14;17;-1.00013;3.99987;
4.99818;-8;11;-14;17.9986;-1;3.99972;-8.00112;11;-14;17;-1.00014;3.99986;
4.99805;-8;11;-14;17.9985;-1;3.9997;-8.0012;11;-14;17;-1.00015;3.99985;
4.99792;-8;11;-14;17.9984;-1;3.99968;-8.00128;11;-14;17;-1.00016;3.99984;
4.99779;-8;11;-14;17.9983;-1;3.99966;-8.00136;11;-14;17;-1.00017;3.99983;
4.99766;-8;11;-14;17.9982;-1;3.99964;-8.00144;11;-14;17;-1.00018;3.99982;
4.99753;-8;11;-14;17.9981;-1;3.99962;-8.00152;11;-14;17;-1.00019;3.99981;
4.9974;-8;11;-14;17.998;-1;3.9996;-8.0016;11;-14;17;-1.0002;3.9998;
4.99727;-8;11;-14;17.9979;-1;3.99958;-8.00168;11;-14;17;-1.00021;3.99979;
4.99714;-8;11;-14;17.9978;-1;3.99956;-8.00176;11;-14;17;-1.00022;3.99978;
