0.731059;0.718557;0.722345;0.72831;
0.71529;0.703744;0.705676;0.712974;
0.700167;0.689625;0.68969;0.698294;
0.685759;0.676248;0.674462;0.684326;
0.672115;0.663643;0.660041;0.671105;
0.65926;0.651821;0.646452;0.658648;
0.647203;0.640777;0.633701;0.646957;
0.635935;0.630496;0.621779;0.63602;
0.625441;0.620954;0.610664;0.625817;
0.615692;0.612119;0.600326;0.61632;
0.598295;0.59643;0.581835;0.599317;
0.590573;0.589498;0.5736;0.591737;
0.583448;0.583124;0.565982;0.584723;
0.576882;0.577268;0.558939;0.578236;
0.570835;0.571894;0.552431;0.572242;
0.560152;0.56245;0.540863;0.561589;
0.555446;0.558316;0.535731;0.556867;
0.551121;0.554533;0.530988;0.552507;
0.547148;0.551074;0.526604;0.548482;
0.543498;0.547914;0.522551;0.544765;
0.543498;0.547914;0.522551;0.544765;
0.540146;0.545028;0.518801;0.541333;
0.537069;0.542394;0.515331;0.538164;
0.534244;0.539992;0.512118;0.535236;
0.531651;0.537804;0.509141;0.53253;
0.529272;0.535813;0.506381;0.53003;
0.529272;0.535813;0.506381;0.53003;
0.527089;0.534002;0.503821;0.527719;
0.525087;0.532356;0.501445;0.525582;
0.523251;0.530864;0.499237;0.523604;
0.521567;0.529512;0.497184;0.521774;
0.520024;0.528288;0.495274;0.52008;
0.518611;0.527184;0.493496;0.518511;
0.517316;0.526188;0.491838;0.517058;
0.51613;0.525293;0.490292;0.51571;
0.515045;0.524489;0.488848;0.51446;
0.514053;0.523771;0.487498;0.5133;
0.513146;0.523131;0.486235;0.512224;
0.512317;0.522562;0.485052;0.511224;
0.511561;0.52206;0.483944;0.510295;
0.510871;0.521618;0.482903;0.509431;
0.510243;0.521232;0.481925;0.508627;
0.509671;0.520898;0.481005;0.507879;
0.509151;0.520611;0.480138;0.507181;
0.508679;0.520367;0.47932;0.506531;
0.508251;0.520163;0.478548;0.505925;
0.507864;0.519996;0.477817;0.505359;
0.507513;0.519862;0.477126;0.504829;
0.507198;0.51976;0.47647;0.504334;
0.506914;0.519686;0.475847;0.503871;
0.506659;0.519639;0.475255;0.503437;
0.506431;0.519616;0.474692;0.503031;
0.506228;0.519614;0.474154;0.502649;
0.506049;0.519634;0.473641;0.50229;
0.505889;0.519671;0.47315;0.501953;
0.50575;0.519726;0.472679;0.501635;
0.505628;0.519796;0.472228;0.501336;
0.505522;0.519881;0.471795;0.501054;
